Age,EducationLevel,TotalWorkingYears,YearsAtCompany,YearsSinceLastPromotion,JobSatisfaction,WorkLifeBalance,PerformanceRating,OverTime,DistanceFromHome,TrainingTimesLastYear,MonthlyIncome,Attrition,Gender_Male,Department_Finance,Department_HR,Department_IT,Department_Marketing,Department_Operations,Department_Sales,JobRole_Business Development Executive,JobRole_Data Analyst,JobRole_Data Scientist,JobRole_Digital Marketing Manager,JobRole_Finance Manager,JobRole_Financial Analyst,JobRole_HR Executive,JobRole_Marketing Executive,JobRole_Operations Executive,JobRole_Operations Manager,JobRole_Recruiter,JobRole_SEO Specialist,JobRole_Sales Executive,JobRole_Sales Manager,JobRole_Software Engineer,JobRole_Support Executive,JobRole_System Administrator
59,3,4.0,1.0,0.0,3.0,3,3.0,1,7,1.0,66523.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
49,4,25.0,12.0,0.0,5.0,4,1.5,1,11,4.0,212938.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35,3,9.0,9.0,7.5,3.0,4,4.0,1,9,6.0,94129.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
28,2,3.0,3.0,2.0,4.0,2,5.0,0,30,8.0,56101.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41,4,9.0,2.0,2.0,1.5,2,3.0,0,3,5.0,105423.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
59,5,24.0,16.0,7.5,4.0,3,1.5,0,22,9.0,227479.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
39,1,1.0,0.0,0.0,1.5,1,2.0,0,40,3.0,25073.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
43,5,4.0,0.0,0.0,5.0,4,4.0,1,20,2.0,89435.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
31,1,6.0,1.0,1.0,4.0,3,4.0,0,32,8.0,52419.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
31,4,5.0,4.0,3.0,4.0,3,4.0,0,7,6.0,79466.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
44,2,21.0,12.0,0.0,4.0,2,3.0,1,7,10.0,145976.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,1,2.0,2.0,0.0,4.0,3,4.0,0,20,5.0,37393.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2,12.0,1.0,0.0,3.0,3,4.0,0,25,6.0,105557.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
44,3,2.0,0.0,0.0,5.0,4,3.0,0,35,7.0,55110.0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23,2,1.0,1.0,0.0,5.0,1,3.0,1,24,4.0,40233.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,1,20.0,16.0,4.0,3.0,1,2.0,0,40,2.0,116394.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
22,3,0.0,0.0,0.0,5.0,3,3.0,1,13,2.0,34835.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
44,4,5.0,2.0,1.0,4.0,2,5.0,1,39,1.0,92795.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
50,2,10.0,3.0,2.0,3.0,3,3.0,0,4,7.0,90669.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
58,2,11.0,8.0,6.0,3.0,4,4.0,0,12,0.0,92032.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2,0.0,0.0,0.0,2.0,3,3.0,0,17,7.0,29384.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41,1,16.0,1.0,1.0,1.5,4,2.0,0,1,2.0,98121.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,4,3.0,0.0,0.0,2.0,1,3.0,0,17,8.0,59803.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,4,1.0,0.0,0.0,3.0,2,3.0,0,2,10.0,52877.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
42,3,10.0,3.0,3.0,3.0,1,3.0,0,6,1.0,101798.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45,2,6.0,3.0,3.0,3.0,3,2.0,0,11,9.0,56802.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
47,3,1.0,1.0,0.0,5.0,4,3.0,0,18,8.0,46356.0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,3,25.0,17.5,7.5,3.0,1,2.0,0,40,5.0,194792.0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36,4,1.0,0.0,0.0,3.0,3,2.0,1,25,0.0,47314.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
35,3,4.0,2.0,2.0,2.0,3,3.0,0,39,4.0,66376.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,3,1.0,0.0,0.0,1.5,4,3.0,0,28,9.0,42351.0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
57,3,21.0,17.5,7.5,4.0,2,5.0,0,16,8.0,176647.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2,4.0,3.0,1.0,4.0,2,3.0,0,12,5.0,58487.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41,5,17.0,9.0,3.0,4.0,1,4.0,1,29,6.0,194844.0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2,2.0,1.0,1.0,2.0,3,3.0,0,23,3.0,38254.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
59,3,29.0,10.0,2.0,4.0,2,4.0,0,21,0.0,227479.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
38,2,7.0,1.0,0.0,3.0,4,3.0,1,16,4.0,68110.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
24,3,1.0,1.0,0.0,2.0,3,5.0,0,26,1.0,49370.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
45,3,14.0,5.0,0.0,1.5,3,3.0,0,37,7.0,124347.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
34,2,8.0,5.0,4.0,2.0,3,4.0,0,22,3.0,75801.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
29,1,2.0,1.0,0.0,3.0,1,3.0,0,10,0.0,36767.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,3,19.0,1.0,1.0,2.0,3,2.0,0,7,9.0,154130.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
