EmployeeID,Age,Gender,Department,JobRole,EducationLevel,TotalWorkingYears,YearsAtCompany,YearsSinceLastPromotion,JobSatisfaction,WorkLifeBalance,PerformanceRating,OverTime,DistanceFromHome,TrainingTimesLastYear,MonthlyIncome,Attrition,Comments,Temp_Code,Extra_Salary_Text
EMP1000,59,Female,HR,HR Executive,Master's,4,1,0,3,3,3,Yes,7,1,66523,No,Good,,45000
EMP1001,49,Female,Marketing,Digital Marketing Manager,MBA,25,12,0,5,4,1,Yes,11,4,212938,No,,999X,45000
EMP1002,35,Male,Operations,Operations Executive,Master's,9,9,8,3,4,4,Yes,9,6,94129,Yes,,A101,45000
EMP1003,28,F,Customer Support,Support Executive,Bachelor's,3,3,2,4,2,5,No,30,8,56101,Yes,Pending,A101,Not Available
EMP1004,41,Female,Marketing,Digital Marketing Manager,MBA,9,2,2,1,2,3,No,3,5,105423,No,Pending,999X,Thirty Thousand
EMP1005,59,Female,IT,Software Engineer,PhD,24,16,12,4,3,1,No,22,9,235472,No,Check Later,A101,
EMP1006,39,Male,IT,Software Engineer,Diploma,1,0,0,1,1,2,No,40,3,25073,Yes,Good,B202,Not Available
EMP1007,43,female,Customer Support,Support Executive,PhD,4,0,0,5,4,4,Yes,20,2,89435,No,,A101,
EMP1008,31,Female,HR,Recruiter,Diploma,6,1,1,4,3,4,No,32,8,52419,Yes,N/A,A101,Thirty Thousand
EMP1009,31,Male,Customer Support,Support Executive,MBA,5,4,3,4,3,4,No,7,6,79466,No,Good,,Not Available
EMP1010,44,Male,Finance,Accountant,Bachelor's,21,12,0,4,2,3,Yes,7,10,145976,No,,A101,
EMP1011,56,Female,IT,Data Scientist,Diploma,2,2,0,4,3,4,No,20,5,37393,No,Check Later,A101,Thirty Thousand
EMP1012,60,Female,Operations,Operations Manager,Bachelor's,12,1,0,3,3,4,No,25,6,105557,No,,,
EMP1013,44,Male,Finance,Financial Analyst,Master's,2,0,0,5,4,3,No,35,7,55110,No,,A101,45000
EMP1014,23,F,Sales,Business Development Executive,Bachelor's,1,1,0,5,1,3,Yes,24,4,40233,Yes,,,
EMP1015,42,Male,Marketing,Marketing Executive,Diploma,20,16,4,3,1,2,No,40,2,116394,Yes,,A101,45000
EMP1016,22,Female,Finance,Financial Analyst,Master's,0,0,0,5,3,3,Yes,13,2,34835,Yes,,A101,
EMP1017,44,F,Marketing,Marketing Executive,MBA,5,2,1,4,2,5,Yes,39,1,92795,Yes,Good,A101,Thirty Thousand
EMP1018,50,Female,Customer Support,Support Executive,Bachelor's,10,3,2,3,3,3,No,4,7,90669,No,Check Later,999X,45000
EMP1019,58,Female,Finance,Accountant,Bachelor's,11,8,6,3,4,4,No,12,0,92032,No,Pending,999X,45000
EMP1020,22,Female,Customer Support,Support Executive,Bachelor's,0,0,0,2,3,3,No,17,7,29384,No,,??,Thirty Thousand
EMP1021,41,Male,Sales,Business Development Executive,Diploma,16,1,1,1,4,2,No,1,2,98121,No,Pending,B202,45000
EMP1022,53,F,IT,Data Scientist,MBA,3,0,0,2,1,3,No,17,8,59803,No,N/A,A101,45000
EMP1023,32,Female,Sales,Sales Manager,MBA,1,0,0,3,2,3,No,2,10,52877,No,Check Later,??,Thirty Thousand
EMP1024,42,M,IT,System Administrator,Master's,10,3,3,3,1,3,No,6,1,101798,Yes,,B202,Not Available
EMP1025,45,Male,Customer Support,Support Executive,Bachelor's,6,3,3,3,3,2,No,11,9,56802,No,,??,Not Available
EMP1026,47,Male,IT,Data Scientist,Master's,1,1,0,5,4,3,No,18,8,46356,Yes,Pending,999X,
EMP1027,48,Male,Marketing,Digital Marketing Manager,Master's,25,25,19,3,1,2,No,40,5,194792,Yes,,,Not Available
EMP1028,36,Female,Operations,Operations Executive,MBA,1,0,0,3,3,2,Yes,25,0,47314,No,,??,Thirty Thousand
EMP1029,35,Female,Sales,Business Development Executive,Master's,4,2,2,2,3,3,No,39,4,66376,No,Pending,A101,Thirty Thousand
EMP1030,23,M,Finance,Financial Analyst,Master's,1,0,0,1,4,3,No,28,9,42351,No,Pending,B202,45000
EMP1031,57,Female,Sales,Business Development Executive,Master's,21,21,14,4,2,5,No,16,8,176647,Yes,N/A,,45000
EMP1032,27,F,Marketing,Digital Marketing Manager,Bachelor's,4,3,1,4,2,3,No,12,5,58487,Yes,Good,??,Thirty Thousand
EMP1033,41,Male,IT,Data Scientist,PhD,17,9,3,4,1,4,Yes,29,6,194844,Yes,,999X,
EMP1034,29,M,Marketing,Digital Marketing Manager,Bachelor's,2,1,1,2,3,3,No,23,3,38254,No,Check Later,??,Not Available
EMP1035,59,male,HR,HR Executive,Master's,29,10,2,4,2,4,No,21,0,229616,No,Good,A101,Not Available
